rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
7,David Crespo & Christian Espinal,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,19:53,,,,,,7
8,Jalon Colston & Emmanuel Newsome,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX Pro,MetCon X,,,25:57,,,,,,8
1,Taylor Lane & Samantha Lacayo,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,4.262KM,4.237KM,1
2,Kristie Muller & Sophia Umphress,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.75KM,4.661KM,2
3,Maria Gabriela Meyer & Valeria Jiménez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,4.046KM,4.334KM,3
4,Laura Dias & Meghan Travis,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.768KM,4.44KM,4
5,Sandra Aboulhosn & Mackenzie Pace,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.75KM,4.379KM,5
6,Cassandra Bosley & Megan Dimka,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.919KM,4.204KM,6
7,Kimberly Sawyer & Tamina Sheikh,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.75KM,4.068KM,7
8,Valentina Nunez & Linda Taveras,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Female,ATHX,Endurance,,,,,,,3.517KM,4.249KM,8
